ALAND,AWATER,CD116FP,CDSESSN,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAMELSAD,NUMPOINTSairports,STATEFP,amtrak,breweries,fairgrounds,farms,fortune,hospitals,military,mobilehome,museums,result,sportsvenues,starbucks,amtrak_alpha_pct,breweries_alpha_pct,fairgrounds_alpha_pct,fortune_alpha_pct,hospitals_alpha_pct,mobilehome_alpha_pct,museums_alpha_pct,sportsvenues_alpha_pct,starbucks_alpha_pct,farms_alpha_pct,military_alpha_pct
2147483647,2147483647,07,116,N,2707,+46.5530202,-095.6759048,C2,G5200,Congressional District 7,62,27,2,10,0,33431,0,55,0,173,152,D,0,5,42.5,37.5,0.0,0.0,182.14285714285714,83.86882129277566,127.92079207920791,0.0,9.23913043478261,237.79372384937238,0.0
2147483647,243358361,02,116,N,2702,+44.4789680,-092.8530418,C2,G5200,Congressional District 2,3,27,1,13,0,4642,2,10,1,52,53,D,1,25,21.25,48.75,0.0,14.166666666666666,33.116883116883116,25.20912547528517,44.603960396039604,31.875,46.19565217391305,33.018410041841,12.142857142857142
2147483647,408723230,06,116,N,2706,+45.3368069,-093.8520551,C2,G5200,Congressional District 6,6,27,1,15,0,5739,0,5,2,58,47,R,0,14,21.25,56.25,0.0,0.0,16.558441558441558,28.11787072243346,39.554455445544555,0.0,25.869565217391305,40.82133891213389,24.285714285714285
2147483647,2147483647,08,116,N,2708,+47.2503370,-092.9638699,C2,G5200,Congressional District 8,41,27,0,16,0,10586,0,30,3,160,125,R,0,9,0.0,60.0,0.0,0.0,99.35064935064935,77.56653992395437,105.1980198019802,0.0,16.630434782608695,75.2979079497908,36.42857142857142
669256000,2067510,01,116,N,1701,+41.5466708,-087.8357472,C2,G5200,Congressional District 1,0,17,0,4,0,191,0,8,1,13,29,D,1,17,0.0,15.0,0.0,0.0,26.493506493506494,6.302281368821292,24.40594059405941,31.875,31.41304347826087,1.3585774058577407,12.142857142857142
2147483647,383133624,18,116,N,1718,+40.2271844,-090.0691183,C2,G5200,Congressional District 18,13,17,3,7,0,13826,1,13,1,125,116,R,1,18,63.75,26.25,0.0,7.083333333333333,43.05194805194805,60.59885931558936,97.62376237623764,31.875,33.26086956521739,98.3439330543933,12.142857142857142
161458448,5341167,07,116,N,1707,+41.8633320,-087.7321218,C2,G5200,Congressional District 7,0,17,1,8,0,0,9,21,0,0,118,D,3,98,21.25,30.0,0.0,63.75,69.54545454545455,0.0,99.3069306930693,95.625,181.08695652173915,0.0,0.0
-1496230838,25389182,02,116,N,1702,+41.2562081,-087.7901148,C2,G5200,Congressional District 2,4,17,2,5,0,1204,0,10,0,33,43,D,0,11,42.5,18.75,0.0,0.0,33.116883116883116,15.998098859315588,36.18811881188119,0.0,20.32608695652174,8.564016736401674,0.0
2147483647,249898247,01,116,N,3101,+41.3744593,-096.8286623,C2,G5200,Congressional District 1,14,31,1,8,0,13381,0,28,4,69,111,R,2,16,21.25,30.0,0.0,0.0,92.72727272727273,33.450570342205324,93.41584158415841,63.75,29.565217391304348,95.1786610878661,48.57142857142857
2147483647,201717828,36,116,N,0636,+33.7300127,-115.7393369,C2,G5200,Congressional District 36,7,06,1,3,0,1148,0,9,0,276,49,D,1,53,21.25,11.25,0.0,0.0,29.805194805194805,133.8022813688213,41.23762376237623,31.875,97.93478260869564,8.165690376569037,0.0
2147483647,118249352,16,116,N,0616,+37.1086529,-120.5188666,C2,G5200,Congressional District 16,9,06,3,6,0,4025,0,9,1,67,43,D,1,29,63.75,22.5,0.0,0.0,29.805194805194805,32.48098859315589,36.18811881188119,31.875,53.586956521739125,28.62970711297071,12.142857142857142
187083544,995827,46,116,N,0646,+33.7908040,-117.8963627,C2,G5200,Congressional District 46,0,06,2,17,0,41,1,13,0,65,33,D,2,47,42.5,63.75,0.0,7.083333333333333,43.05194805194805,31.511406844106464,27.77227722772277,63.75,86.84782608695653,0.29163179916317994,0.0
