long,lat
-135.31966,57.04892
-156.65631,58.70992
-147.83878,64.84911
-149.11008,61.59873
-152.38722,57.79856
-147.71794,64.84363
-149.38716,60.20885
-147.3687,64.77904
-162.59957,66.8985
-135.31356,59.45637
-147.72457,64.84231
-149.44139,61.58234
-149.54407,60.88669
-145.38294,61.92025
-147.83878,64.84911
-131.63255,55.34301
-136.97103,58.82437
-154.5406,60.36206
-135.31356,59.45637
-150.98965,60.50184
-134.39819,58.30836
-166.54126,53.87139
-149.45177,61.56479
-135.31356,59.45637
-149.8853,61.21608
-149.38716,60.20885
-161.80052,60.78536
-149.89451,61.21905
-150.90305,63.62586
-149.12756,61.60024
-149.87855,61.21406
-135.21791,57.77996
-147.70136,64.83881
-151.89265,68.24085
-149.11359,61.59857
-149.22797,61.68606
-151.26121,60.55468
-136.97103,58.82437
-151.23509,60.58442
-134.4148,58.30048
-149.54407,60.88669
-135.32401,57.04983
-149.86107,61.11024
-134.7312,58.37524
-149.94851,61.13325
-134.3996,58.27846
-149.38716,60.20885
-147.72078,64.84217
-149.76884,61.19491
-134.42701,58.30418
-134.77955,58.48383
-135.3427,57.05246
-134.43055,58.29323
-147.82945,64.85079
-151.23509,60.58442
-134.61082,58.36674
-134.40561,58.3005
-156.71037,58.85984
-135.47365,59.24675
-148.68,60.77
-147.87837,64.81712
-147.82945,64.85079
-135.47365,59.24675
-149.52682,61.31504
-149.73354,61.19955
-149.73354,61.19955
-149.86071,61.18946
-149.86071,61.18946
-135.47365,59.24675
-149.87117,61.14654
-134.47205,58.33036
-149.6926,61.08741
-149.87975,61.1804
-134.40583,58.28299
-149.38716,60.20885
-149.80347,61.18889
-149.79254,61.12476
-131.68901,55.38073
-147.76725,64.83685
-155.14303,70.66976
-147.71869,64.84339
-149.43945,61.58245
-149.43945,61.58245
-149.44139,61.58414
-149.85049,61.21785
-145.38294,61.92025
-149.97254,61.17925
-149.97254,61.17925
-145.14026,65.34556
-135.34093,57.04922
-149.45449,61.30216
-134.40814,58.30039
-149.88169,61.22198
-151.52423,59.64585
-132.96963,56.80634
-149.88622,61.21765
-141.20294,64.78917
-141.20294,64.78917
-149.89456,61.21833
-151.48517,59.66896
-148.38192,61.76392
-154.94429,62.91264
-145.52846,62.1077
-149.90017,62.1755
-134.39819,58.30836
-135.32213,57.05064
-149.76708,61.1689
-158.45869,59.04004
-149.11008,61.59873
-151.0871,60.4771
-151.0738,60.49083
-149.89524,61.21978
-145.7709,64.10761
-149.71566,61.23361
-149.88931,61.21824
-149.8853,61.21608
-150.90305,63.62586
-149.38716,60.20885
-147.72054,64.84166
-135.47365,59.24675
-147.72457,64.84231
-149.68711,61.25315
-149.89178,61.18495
-149.91195,61.19007
-149.47465,61.38967
-152.4025,57.78869
-135.47365,59.24675
-149.89178,61.18495
-149.27332,61.23644
-146.21652,61.10482
-166.54126,53.87139
-146.21652,61.10482
-151.26597,60.5628
-152.40165,57.79263
-147.99241,60.07439
-149.92363,61.19811
-151.5504,59.6447
-135.33625,57.06019
-149.13368,60.96435
-151.28922,60.33002
-149.88518,61.18152
-151.21598,60.56149
-132.38707,56.47183
-146.21652,61.10482
-147.87837,64.81712
-147.87837,64.81712
-147.87837,64.81712
-147.87837,64.81712
-147.87837,64.81712
-147.87837,64.81712
-147.87837,64.81712
-152.39915,57.7885
-152.39915,57.7885
-151.5504,59.6447
-131.64029,55.34242
-149.38716,60.20885
-149.38716,60.20885
-165.41115,64.49805
-147.99241,60.07439
-151.53416,59.64583
-133.94876,56.97824
-131.67274,55.35076
-151.54459,59.64002
-85.70931,32.42834
-85.80641,34.98079
-85.70126,34.45604
-85.68971,33.02137
-87.38654,34.00155
-88.0635,34.914
-86.85865,33.10622
-87.67689,34.68412
-86.56749,33.53302
-86.80816,33.51539
-88.05651,30.69693
-86.07354,33.58
-88.04483,30.69095
-86.98242,34.60658
-87.55306,30.27953
-87.69586,30.27485
-86.29625,32.37289
-85.00075,32.47478
-86.81185,33.51784
-87.83088,33.68726
-86.1874,32.49562
-86.10978,33.43327
-87.54404,31.08927
-86.84284,34.17922
-88.05651,30.69693
-86.30384,32.38171
-85.80863,33.48103
-87.2516,34.65316
-86.79146,33.49766
-87.5051,33.29531
-87.68318,34.79602
-87.68294,30.40641
-86.29266,32.35837
-87.83093,33.68378
-85.4782,32.61408
-86.81473,33.51487
-88.04333,30.68707
-85.95541,32.94394
-85.61136,33.92352
-87.45344,31.66616
-87.83547,32.50857
-86.27993,32.41765
-88.0876,30.69172
-85.39071,32.61295
-86.61819,34.71282
-87.17013,34.43882
-85.48474,32.5888
-88.00148,30.22975
-87.01422,32.40885
-86.46785,33.77722
-86.10316,33.43245
-86.80921,33.51275
-86.95033,34.64853
-86.62928,34.74054
-86.83857,33.50088
-85.71709,32.41399
-86.3057,32.36698
-87.69496,34.71624
-85.71978,31.34936
-86.82681,33.49719
-86.30496,32.37744
-86.25406,32.40461
-86.30628,32.37878
-86.79191,33.50116
-86.53769,34.72003
-87.31662,32.63066
-86.89296,33.10796
-85.85943,33.65864
