rm,Y,OBJECTID,STNCODE,STNNAME,CITY2,STATE,STFIPS
-76.16326,39.508447,186,ABE,"Aberdeen, Maryland",Aberdeen,MD,24
-106.647975,35.082061,107,ABQ,"Albuquerque, New Mexico",Albuquerque,NM,35
-121.816024,38.0177,179,ACA,"Antioch-Pittsburg, California",Antioch-Pittsburg,CA,6
,,519,ACD,"Arcadia, Missouri",Arcadia,MO,29
-97.12551,34.172465,377,ADM,"Ardmore, Oklahoma",Ardmore,OK,40
-82.639603,38.480875,482,AKY,"Ashland, Kentucky",Ashland,KY,21
-73.741147,42.641029,9,ALB,"Albany/Rensselaer, New York",Albany-Rensselaer,NY,36
-81.092904,40.921275,416,ALC,"Alliance, Ohio",Alliance,OH,39
-80.644856,37.724277,516,ALD,"Alderson, West Virginia",Alderson,WV,54
-84.755814,42.247196,499,ALI,"Albion, Michigan",Albion,MI,26
-90.136276,38.904723,128,ALN,"Alton, Illinois",Alton,IL,17
-103.661513,30.357302,424,ALP,"Alpine, Texas",Alpine,TX,48
-78.40162,40.514475,234,ALT,"Altoona, Pennsylvania",Altoona,PA,42
-77.06233,38.806503,53,ALX,"Alexandria, Virginia",Alexandria,VA,51
-123.102774,44.630464,192,ALY,"Albany, Oregon",Albany,OR,41
-74.2195,42.953719,335,AMS,"Amsterdam, New York",Amsterdam,NY,36
-117.877308,33.803803,43,ANA,"Anaheim, California",Anaheim,CA,6
-83.743154,42.287692,76,ARB,"Ann Arbor, Michigan",Ann Arbor,MI,26
-75.290399,40.008278,114,ARD,"Ardmore, Pennsylvania",Ardmore,PA,42
-93.053284,34.113919,509,ARK,"Arkadelphia, Arkansas",Arkadelphia,AR,5
-121.083187,38.903638,273,ARN,"Auburn, California",Auburn,CA,6
-77.481304,37.759596,212,ASD,"Ashland, Virginia",Ashland,VA,51
-84.392477,33.799445,103,ATL,"Atlanta, Georgia",Atlanta,GA,13
-85.832145,33.649112,427,ATN,"Anniston, Alabama",Anniston,AL,1
-87.492747,31.024229,520,ATR,"Artmore, Alabama",Artmore,AL,1
-97.75694,30.269449,199,AUS,"Austin, Texas",Austin,TX,48
-76.615688,39.307302,8,BAL,"Baltimore (Penn Station), Maryland",Baltimore,MD,24
-86.111646,42.314519,446,BAM,"Bangor, Michigan",Bangor,MI,26
-117.025435,34.90482,465,BAR,"Barstow (Amtrak), California",Barstow,CA,6
-89.333338,30.3142,521,BAS,"Bay St. Louis, Mississippi",Bay St. Louis,MS,28
-71.075828,42.347317,17,BBY,"Boston (Back Bay), Massachusetts",Boston,MA,25
-77.29879,38.797271,391,BCV,"Burke Centre, VA",Burke Centre,VA,51
-122.511255,48.720263,146,BEL,"Bellingham, Washington",Bellingham,WA,53
-110.296904,31.968758,487,BEN,"Benson, Arizona",Benson,AZ,4
-72.765274,41.635595,269,BER,"Berlin, Connecticut",Berlin,CT,9
-119.00821,35.37214,23,BFD,"Bakersfield, California",Bakersfield,CA,6
-78.873748,42.878449,184,BFX,"Buffalo (Exchange St), New York",Buffalo- Exchange St.,NY,36
-86.806614,33.512801,169,BHM,"Birmingham, Alabama",Birmingham,AL,1
-88.885375,30.408387,522,BIX,"Biloxi, Mississippi",Biloxi,MS,28
-122.300707,37.867254,67,BKY,"Berkeley, California",Berkeley,CA,6
-72.444597,43.13654,437,BLF,"Bellows Falls, Vermont",Bellows Falls,VT,50
-94.127367,30.076458,464,BMT,"Beaumont, Texas",Beaumont,TX,48
-79.434531,36.094225,227,BNC,"Burlington, North Carolina",Burlington,NC,37
-121.46873,45.71502,453,BNG,"Bingen-White Salmon, Washington",Bingen-White Salmon,WA,53
-88.984306,40.50901,46,BNL,"Bloomington-Normal, Illinois",Bloomington-Normal,IL,17
-71.061122,42.366235,26,BON,"Boston (North Station), Massachusetts",Boston,MA,25
