X,Y,FID,SECTOR,SUBSECTOR,PRIMARY_TY,FAIRGROUND,ADDRESS1,ADDRESS2,CITY,STATE,ZIP_CODE,ZIP_4,PO_BOX,PO_ZIP,COUNTY,LATITUDE,LONGITUDE,HSIP_AOI,FEMA_REGIO,DATE_CREAT,DATE_MODIF,COMMENTS
-86.871162663316213,33.497985066027908,1,Agriculture & Livestock,Fairgrounds,State Fairgrounds,Alabama State Fairgrounds,2331 Bessemer Road, ,Birmingham,AL,35208, , , ,Jefferson,33.497819,-86.871163,Birmingham,4,20070306,20120105,Minor geopositional adjustment to original record.
-86.270765752373478,32.404637395343464,2,Agriculture & Livestock,Fairgrounds,State Fairgrounds,Alabama National Fairgrounds,1555 Federal Drive, ,Montgomery,AL,36107,36107-1125, , ,Montgomery,32.404637,-86.270813,Montgomery,4,20070306,20120105,National Fair is held at Alabama Agricultural Center.
-88.210972170502814,30.710570397310679,3,Agriculture & Livestock,Fairgrounds,State Fairgrounds,Greater Gulf State Fairgrounds,1035 N. Cody Road, ,Mobile,AL,36608,36608-5159, , ,Mobile,30.710618,-88.210996,Mobile,4,20070306,20120105,Minor geopositional adjustment to original record.
-147.75578555281956,64.864768593057477,4,Agriculture & Livestock,Fairgrounds,State Fairgrounds,Tanana Valley State Fairgrounds,1800 College Road, ,Fairbanks,AK,99709,99709-4173, , ,F'bnks N Star,64.864816,-147.755809,None,10,20070306,20120105,Minor geopositional adjustment to original record.  Full County Name:  Fairbanks North Star
-151.677452784577866,60.036220164012953,5,Agriculture & Livestock,Fairgrounds,State Fairgrounds,Kenai Peninsula State Fairgrounds,16200 Sterling Highway, ,Ninilchik,AK,99639, , , ,Kenai Penins,60.03622,-151.677453,None,10,20070306,20120105,Geopositional adjustment of over 2200' to south.  Full County Name:  Kenai Peninsula
-149.128711191545477,61.581717394265816,6,Agriculture & Livestock,Fairgrounds,State Fairgrounds,Alaska State Fairgrounds,2075 Glenn Highway, ,Palmer,AK,99645, , , ,Matanuska-S,61.58169,-149.12868,None,10,20070306,20120105,Geopositional adjustment of about 1000'.   Full County Name:  Matanuska-Susitna
-112.096736396983331,33.469581594185627,7,Agriculture & Livestock,Fairgrounds,State Fairgrounds,Arizona State Fairgrounds,1826 West McDowell Road, ,Phoenix,AZ,85007, , , ,Maricopa,33.46956,-112.09672,Phoenix,9,20070306,20120105,Geopositional adjustment of about 1400'.
-92.299076228983651,34.721708093610914,8,Agriculture & Livestock,Fairgrounds,State Fairgrounds,Arkansas State Fairgrounds,2600 Howard St, ,Little Rock,AR,72206,72206-1714, , ,Pulaski,34.721732,-92.299076,Little Rock,6,20070306,20120110,Geopositional adjustment of about 1200' (from facility edge to on-entity)
-121.427856608707884,38.590691660201053,9,Agriculture & Livestock,Fairgrounds,State Fairgrounds,California Exposition & State Fairgrounds,1600 Exposition Blvd, ,Sacramento,CA,95815, , , ,Sacramento,38.59061,-121.42768,Sacramento,9,20070306,20120110,Minor geopositional adjustment to top of a main building within complex.
-120.686202811949855,35.63855432862222,10,Agriculture & Livestock,Fairgrounds,State Fairgrounds,Paso Robles Events Center,2198 Riverside Avenue, ,Paso Robles,CA,93446, , , ,San Luis Obis,35.63853,-120.6862,None,9,20070306,20120110,Name of Event:  California Mid-State Fair.    Full County Name:  San Luis Obispo.
