STATEFP,CD116FP,GEOID,NAMELSAD,LSAD,CDSESSN,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,color,military
27,7,2707,Congressional District 7,C2,116,G5200,N,86580712408,5058381039,46.5530202,-95.6759048,,62
27,2,2702,Congressional District 2,C2,116,G5200,N,6314464923,243358361,44.478968,-92.8530418,,3
27,6,2706,Congressional District 6,C2,116,G5200,N,7460634590,408723230,45.3368069,-93.8520551,,6
27,8,2708,Congressional District 8,C2,116,G5200,N,72281499178,12448503736,47.250337,-92.9638699,,41
17,1,1701,Congressional District 1,C2,116,G5200,N,669256000,2067510,41.5466708,-87.8357472,,0
17,18,1718,Congressional District 18,C2,116,G5200,N,27235396834,383133624,40.2271844,-90.0691183,,13
17,7,1707,Congressional District 7,C2,116,G5200,N,161458448,5341167,41.863332,-87.7321218,,0
17,2,1702,Congressional District 2,C2,116,G5200,N,-1496230838,25389182,41.2562081,-87.7901148,,4
31,1,3101,Congressional District 1,C2,116,G5200,N,22995959831,249898247,41.3744593,-96.8286623,,14
6,36,636,Congressional District 36,C2,116,G5200,N,15312870769,201717828,33.7300127,-115.7393369,,7
6,16,616,Congressional District 16,C2,116,G5200,N,7354826326,118249352,37.1086529,-120.5188666,,9
6,46,646,Congressional District 46,C2,116,G5200,N,187083544,995827,33.790804,-117.8963627,,0
6,37,637,Congressional District 37,C2,116,G5200,N,143132731,351790,34.0168971,-118.3717636,,0
6,33,633,Congressional District 33,C2,116,G5200,N,747577389,489486946,34.0465389,-118.9443071,,1
6,15,615,Congressional District 15,C2,116,G5200,N,1549131567,73625793,37.6571483,-121.8362453,,2
18,2,1802,Congressional District 2,C2,116,G5200,N,10253189601,131728583,41.2487244,-86.236798,,15
18,9,1809,Congressional District 9,C2,116,G5200,N,11622090122,144580780,38.7829414,-86.2122933,,11
18,6,1806,Congressional District 6,C2,116,G5200,N,16075565107,106706879,39.4752185,-85.3763377,,16
18,8,1808,Congressional District 8,C2,116,G5200,N,18792335677,278478325,38.7330167,-87.1993471,,12
6,53,653,Congressional District 53,C2,116,G5200,N,352091648,5538110,32.7183139,-117.0314815,,1
6,47,647,Congressional District 47,C2,116,G5200,N,560123814,1176361929,33.3673364,-118.480709,,2
6,31,631,Congressional District 31,C2,116,G5200,N,566112003,5694100,34.1096748,-117.3533294,,4
